,,coef
ARNT2,cnv_del,0.0
ARNT2,cnv_amp,0.0
TNFSF11,mut_important,-2.864375403532904e-14
TNFSF11,cnv_del,0.0
TNFSF11,cnv_amp,0.0
OR5AN1,mut_important,-6.175615574477433e-15
OR5AN1,cnv_del,0.0
OR5AN1,cnv_amp,3.83026943495679e-14
AKR1C4,mut_important,-3.7719827261639693e-14
AKR1C4,cnv_del,1.3655743202889425e-13
AKR1C4,cnv_amp,-1.8451906669270102e-13
ZNF793,mut_important,0.0
ZNF793,cnv_del,0.0
ZNF793,cnv_amp,0.0
CGN,mut_important,4.593547764386585e-15
CGN,cnv_del,-1.5551795962132076e-15
CGN,cnv_amp,-2.4980018054066022e-15
PDGFB,mut_important,-3.108624468950438e-14
PDGFB,cnv_del,0.0
PDGFB,cnv_amp,0.0
UBE2H,mut_important,0.0
UBE2H,cnv_del,1.304512053934559e-15
UBE2H,cnv_amp,1.3500311979441904e-13
TRAF7,mut_important,5.401928904191777e-15
TRAF7,cnv_del,0.0
TRAF7,cnv_amp,0.0
ARL13B,mut_important,-1.0928757898653885e-15
ARL13B,cnv_del,1.4988010832439613e-15
ARL13B,cnv_amp,5.898059818321144e-15
PPM1N,mut_important,0.0
PPM1N,cnv_del,0.0
PPM1N,cnv_amp,0.0
GRID2,mut_important,0.0
GRID2,cnv_del,0.0
GRID2,cnv_amp,0.0
CYP2R1,mut_important,5.331290964250002e-13
CYP2R1,cnv_del,7.341349750333848e-14
CYP2R1,cnv_amp,-1.1698975121987587e-14
TIAM2,mut_important,-1.687538997430238e-13
TIAM2,cnv_del,-2.7672308888782027e-14
TIAM2,cnv_amp,-8.482103908136196e-14
CBWD3,mut_important,0.0
CBWD3,cnv_del,0.0
CBWD3,cnv_amp,0.0
GABRR3,mut_important,0.0
GABRR3,cnv_del,2.9598545836506673e-13
GABRR3,cnv_amp,-1.9539925233402755e-13
CLDN17,mut_important,3.9065972678997696e-15
CLDN17,cnv_del,0.0
CLDN17,cnv_amp,0.0
CDK14,mut_important,0.0
CDK14,cnv_del,0.0
CDK14,cnv_amp,0.0
STRN,mut_important,0.0
STRN,cnv_del,0.0
STRN,cnv_amp,0.0
KLF9,mut_important,0.0
KLF9,cnv_del,0.0
KLF9,cnv_amp,0.0
DHRS7C,mut_important,0.0
DHRS7C,cnv_del,0.0
DHRS7C,cnv_amp,0.0
LRRC56,mut_important,0.0
LRRC56,cnv_del,0.0
LRRC56,cnv_amp,0.0
KRT34,mut_important,0.0
KRT34,cnv_del,0.0
KRT34,cnv_amp,0.0
CACNB4,mut_important,2.660094367001875e-13
CACNB4,cnv_del,4.362732397567015e-12
CACNB4,cnv_amp,-4.61142235508305e-12
PMVK,mut_important,0.0
PMVK,cnv_del,0.0
PMVK,cnv_amp,-2.3292479056635784e-13
TMEM147,mut_important,0.0
TMEM147,cnv_del,0.0
TMEM147,cnv_amp,0.0
KDELC2,mut_important,0.0
KDELC2,cnv_del,0.0
KDELC2,cnv_amp,0.0
TMEM38A,mut_important,0.0
TMEM38A,cnv_del,0.0
TMEM38A,cnv_amp,0.0
ACP1,mut_important,0.0
ACP1,cnv_del,0.0
