,coef
R-HSA-4641257,-0.021536272
R-HSA-4641258,0.17786793
R-HSA-4641262,0.73736715
R-HSA-4641263,0.0026328105
R-HSA-5368598,-5.136208e-14
R-HSA-2214320,0.0
R-HSA-2243919,0.0
R-HSA-202424,0.95645535
R-HSA-202427,2.550277e-13
R-HSA-202430,0.00031725728
R-HSA-202433,0.03969784
R-HSA-210990,-0.00025911236
R-HSA-210991,6.9153278e-15
R-HSA-210993,-6.660813e-05
R-HSA-2029481,0.025289303
R-HSA-2029482,1.830064
R-HSA-2029485,0.27070317
R-HSA-203615,-4.037452e-06
R-HSA-203641,-5.305428e-15
R-HSA-203754,0.0
R-HSA-209905,1.2057357e-07
R-HSA-209931,3.19664e-11
R-HSA-209822,-3.6153223e-11
R-HSA-211163,-1.1599299e-09
R-HSA-203927,3.1224074e-09
R-HSA-426486,9.5035416e-17
R-HSA-426496,-6.252947e-10
R-HSA-5578749,0.051814247
R-HSA-5601884,-3.742928e-09
R-HSA-5423646,-7.179924e-16
R-HSA-140180,-2.7993677e-14
R-HSA-217271,0.0001287902
R-HSA-71384,6.0933454e-12
R-HSA-8937144,0.0088073835
R-HSA-212300,0.27546507
R-HSA-5221030,-7.683785e-11
R-HSA-5334118,0.0013851741
R-HSA-2032785,2.889283e-05
R-HSA-350054,0.091135465
R-HSA-383280,1.0817138
R-HSA-8953750,1.5574256
R-HSA-2161517,3.9305684e-21
R-HSA-2161541,2.3360904e-19
R-HSA-2424491,0.99295044
R-HSA-2168880,-4.059164e-14
R-HSA-3000471,-8.944645e-07
R-HSA-3000480,0.056497563
R-HSA-3000484,-1.893007e-13
R-HSA-3000497,-7.602708e-24
R-HSA-975634,0.04325563
R-HSA-2219530,2.1947927
R-HSA-5674400,0.28025746
R-HSA-5674404,0.0
R-HSA-3299685,1.8285197e-13
R-HSA-3371497,0.0014096855
R-HSA-2408499,0.0
R-HSA-2408508,-1.2294071e-08
R-HSA-2408517,0.012393226
R-HSA-2408550,-1.0237191e-17
R-HSA-2408552,1.5595345e-09
R-HSA-2408557,0.30418515
R-HSA-5263617,0.0
R-HSA-2730905,0.11996233
R-HSA-2871796,1.282001
R-HSA-2871809,0.8090726
R-HSA-2871837,0.97220135
R-HSA-6809583,0.0
R-HSA-2559580,2.122527
R-HSA-2559582,0.7687635
R-HSA-2559585,0.42090222
R-HSA-3295583,-1.550351e-17
R-HSA-3928662,0.22692107
R-HSA-3928663,-0.023794835
R-HSA-3928664,0.047741774
R-HSA-3928665,0.110483944
R-HSA-2022377,0.0013493273
R-HSA-264876,-0.007832368
R-HSA-422085,6.186474e-15
R-HSA-3000170,2.2293232e-08
R-HSA-3214815,1.096442
R-HSA-3214841,3.004315
R-HSA-3214842,1.566497e-08
R-HSA-3214847,3.063123
R-HSA-3214858,3.3172648
R-HSA-5683329,0.0
R-HSA-3371453,0.71276397
R-HSA-3371511,0.00020381248
R-HSA-350562,0.010369567
R-HSA-351143,0.0
R-HSA-351200,0.0
R-HSA-70635,-5.2611224e-11
R-HSA-71288,-2.7265405e-36
R-HSA-354194,-0.0001223167
R-HSA-372708,-1.9030065e-05
R-HSA-3560783,4.902558e-06
R-HSA-3560792,0.0
R-HSA-3560796,0.0
R-HSA-3560801,0.003780832
R-HSA-3595172,6.6801467e-06
R-HSA-3595174,7.636596e-07
R-HSA-3595177,-4.5824416e-17
R-HSA-3656225,0.008796902
R-HSA-3656234,0.0
R-HSA-3656237,-2.1957893e-23
R-HSA-3656243,0.0019441573
R-HSA-3656244,0.0023388162
R-HSA-3656248,0.0
R-HSA-3656253,1.0551014e-06
R-HSA-4420332,0.0015900003
R-HSA-376172,-0.0003505836
R-HSA-418885,0.00733953
R-HSA-418886,0.046372257
R-HSA-418890,0.001613338
R-HSA-399954,0.059129592
R-HSA-399955,0.01414948
R-HSA-399956,5.392522e-05
R-HSA-416700,-0.006380659
R-HSA-437239,0.034796946
R-HSA-445095,-0.016964804
R-HSA-445144,0.008304773
R-HSA-447038,-0.00041591664
R-HSA-447041,-9.045252e-10
R-HSA-447043,-0.030237153
R-HSA-419037,2.1063144
R-HSA-428540,9.135803e-10
R-HSA-428542,1.2203997e-14
R-HSA-428543,1.9315527e-07
R-HSA-428890,1.8380739e-08
R-HSA-8985586,2.8966463e-11
R-HSA-8985801,1.2656108e-07
R-HSA-9010553,1.2447317
R-HSA-9010642,0.021868283
R-HSA-4549349,0.0
R-HSA-4549356,0.0
R-HSA-4549380,0.0
R-HSA-4551295,0.0
R-HSA-4570571,0.0
R-HSA-4687000,0.0
