,,0,1
PQLC3,mut_important,PQLC3,mut_important
PQLC3,cnv_del,PQLC3,cnv_del
PQLC3,cnv_amp,PQLC3,cnv_amp
JAM2,mut_important,JAM2,mut_important
JAM2,cnv_del,JAM2,cnv_del
JAM2,cnv_amp,JAM2,cnv_amp
RAB6A,mut_important,RAB6A,mut_important
RAB6A,cnv_del,RAB6A,cnv_del
RAB6A,cnv_amp,RAB6A,cnv_amp
DRD3,mut_important,DRD3,mut_important
DRD3,cnv_del,DRD3,cnv_del
DRD3,cnv_amp,DRD3,cnv_amp
PDIA6,mut_important,PDIA6,mut_important
PDIA6,cnv_del,PDIA6,cnv_del
PDIA6,cnv_amp,PDIA6,cnv_amp
CLDN6,mut_important,CLDN6,mut_important
CLDN6,cnv_del,CLDN6,cnv_del
CLDN6,cnv_amp,CLDN6,cnv_amp
FOXD2,mut_important,FOXD2,mut_important
FOXD2,cnv_del,FOXD2,cnv_del
FOXD2,cnv_amp,FOXD2,cnv_amp
FDPS,mut_important,FDPS,mut_important
FDPS,cnv_del,FDPS,cnv_del
FDPS,cnv_amp,FDPS,cnv_amp
BTG1,mut_important,BTG1,mut_important
BTG1,cnv_del,BTG1,cnv_del
BTG1,cnv_amp,BTG1,cnv_amp
NCOA1,mut_important,NCOA1,mut_important
NCOA1,cnv_del,NCOA1,cnv_del
NCOA1,cnv_amp,NCOA1,cnv_amp
MN1,mut_important,MN1,mut_important
MN1,cnv_del,MN1,cnv_del
MN1,cnv_amp,MN1,cnv_amp
FBLIM1,mut_important,FBLIM1,mut_important
FBLIM1,cnv_del,FBLIM1,cnv_del
FBLIM1,cnv_amp,FBLIM1,cnv_amp
GTPBP10,mut_important,GTPBP10,mut_important
GTPBP10,cnv_del,GTPBP10,cnv_del
GTPBP10,cnv_amp,GTPBP10,cnv_amp
GNG2,mut_important,GNG2,mut_important
GNG2,cnv_del,GNG2,cnv_del
GNG2,cnv_amp,GNG2,cnv_amp
ARGLU1,mut_important,ARGLU1,mut_important
ARGLU1,cnv_del,ARGLU1,cnv_del
ARGLU1,cnv_amp,ARGLU1,cnv_amp
TSPYL5,mut_important,TSPYL5,mut_important
TSPYL5,cnv_del,TSPYL5,cnv_del
TSPYL5,cnv_amp,TSPYL5,cnv_amp
GDAP2,mut_important,GDAP2,mut_important
GDAP2,cnv_del,GDAP2,cnv_del
GDAP2,cnv_amp,GDAP2,cnv_amp
SMARCB1,mut_important,SMARCB1,mut_important
SMARCB1,cnv_del,SMARCB1,cnv_del
SMARCB1,cnv_amp,SMARCB1,cnv_amp
TMOD1,mut_important,TMOD1,mut_important
TMOD1,cnv_del,TMOD1,cnv_del
TMOD1,cnv_amp,TMOD1,cnv_amp
CCDC134,mut_important,CCDC134,mut_important
CCDC134,cnv_del,CCDC134,cnv_del
CCDC134,cnv_amp,CCDC134,cnv_amp
SNRPG,mut_important,SNRPG,mut_important
SNRPG,cnv_del,SNRPG,cnv_del
SNRPG,cnv_amp,SNRPG,cnv_amp
PHTF1,mut_important,PHTF1,mut_important
PHTF1,cnv_del,PHTF1,cnv_del
PHTF1,cnv_amp,PHTF1,cnv_amp
PDE7B,mut_important,PDE7B,mut_important
PDE7B,cnv_del,PDE7B,cnv_del
PDE7B,cnv_amp,PDE7B,cnv_amp
SNX6,mut_important,SNX6,mut_important
SNX6,cnv_del,SNX6,cnv_del
SNX6,cnv_amp,SNX6,cnv_amp
DEDD,mut_important,DEDD,mut_important
DEDD,cnv_del,DEDD,cnv_del
DEDD,cnv_amp,DEDD,cnv_amp
SCEL,mut_important,SCEL,mut_important
SCEL,cnv_del,SCEL,cnv_del
SCEL,cnv_amp,SCEL,cnv_amp
TMEM64,mut_important,TMEM64,mut_important
TMEM64,cnv_del,TMEM64,cnv_del
TMEM64,cnv_amp,TMEM64,cnv_amp
SPSB4,mut_important,SPSB4,mut_important
SPSB4,cnv_del,SPSB4,cnv_del
SPSB4,cnv_amp,SPSB4,cnv_amp
COX7A2,mut_important,COX7A2,mut_important
COX7A2,cnv_del,COX7A2,cnv_del
COX7A2,cnv_amp,COX7A2,cnv_amp
PREX2,mut_important,PREX2,mut_important
PREX2,cnv_del,PREX2,cnv_del
PREX2,cnv_amp,PREX2,cnv_amp
TMEM190,mut_important,TMEM190,mut_important
TMEM190,cnv_del,TMEM190,cnv_del
TMEM190,cnv_amp,TMEM190,cnv_amp
TUBB2B,mut_important,TUBB2B,mut_important
TUBB2B,cnv_del,TUBB2B,cnv_del
TUBB2B,cnv_amp,TUBB2B,cnv_amp
NDUFAF2,mut_important,NDUFAF2,mut_important
NDUFAF2,cnv_del,NDUFAF2,cnv_del
NDUFAF2,cnv_amp,NDUFAF2,cnv_amp
OR5M3,mut_important,OR5M3,mut_important
OR5M3,cnv_del,OR5M3,cnv_del
OR5M3,cnv_amp,OR5M3,cnv_amp
RCBTB1,mut_important,RCBTB1,mut_important
RCBTB1,cnv_del,RCBTB1,cnv_del
RCBTB1,cnv_amp,RCBTB1,cnv_amp
SV2A,mut_important,SV2A,mut_important
SV2A,cnv_del,SV2A,cnv_del
SV2A,cnv_amp,SV2A,cnv_amp
TMEM175,mut_important,TMEM175,mut_important
TMEM175,cnv_del,TMEM175,cnv_del
TMEM175,cnv_amp,TMEM175,cnv_amp
TCTE1,mut_important,TCTE1,mut_important
TCTE1,cnv_del,TCTE1,cnv_del
TCTE1,cnv_amp,TCTE1,cnv_amp
NFKB1,mut_important,NFKB1,mut_important
NFKB1,cnv_del,NFKB1,cnv_del
NFKB1,cnv_amp,NFKB1,cnv_amp
MS4A15,mut_important,MS4A15,mut_important
MS4A15,cnv_del,MS4A15,cnv_del
MS4A15,cnv_amp,MS4A15,cnv_amp
PLEKHH3,mut_important,PLEKHH3,mut_important
PLEKHH3,cnv_del,PLEKHH3,cnv_del
PLEKHH3,cnv_amp,PLEKHH3,cnv_amp
WFDC11,mut_important,WFDC11,mut_important
WFDC11,cnv_del,WFDC11,cnv_del
WFDC11,cnv_amp,WFDC11,cnv_amp
NME6,mut_important,NME6,mut_important
NME6,cnv_del,NME6,cnv_del
NME6,cnv_amp,NME6,cnv_amp
SLC39A14,mut_important,SLC39A14,mut_important
SLC39A14,cnv_del,SLC39A14,cnv_del
SLC39A14,cnv_amp,SLC39A14,cnv_amp
SSU72,mut_important,SSU72,mut_important
SSU72,cnv_del,SSU72,cnv_del
