,,coef
OR1S2,cnv_del,-2.0021146e-07
OR1S2,cnv_amp,-1.9794084e-06
NR2F2,mut_important,0.0
NR2F2,cnv_del,0.0
NR2F2,cnv_amp,0.0
DPY19L3,mut_important,0.0
DPY19L3,cnv_del,0.0
DPY19L3,cnv_amp,0.0
DTNA,mut_important,0.0
DTNA,cnv_del,0.0
DTNA,cnv_amp,0.0
RPL3,mut_important,0.013667496
RPL3,cnv_del,0.0
RPL3,cnv_amp,0.0
HIST1H4L,mut_important,0.0
HIST1H4L,cnv_del,0.0
HIST1H4L,cnv_amp,0.0
TMED2,mut_important,1.2024697e-09
TMED2,cnv_del,0.0
TMED2,cnv_amp,0.0
DDX25,mut_important,0.0
DDX25,cnv_del,0.0
DDX25,cnv_amp,0.0
TUBA3D,mut_important,0.0
TUBA3D,cnv_del,0.0
TUBA3D,cnv_amp,0.0
SLC22A13,mut_important,7.037231e-23
SLC22A13,cnv_del,4.0788637e-22
SLC22A13,cnv_amp,1.5132065e-22
PPTC7,mut_important,0.0
PPTC7,cnv_del,0.0
PPTC7,cnv_amp,0.0
RAP2A,mut_important,0.0
RAP2A,cnv_del,0.0
RAP2A,cnv_amp,0.0
SPATA20,mut_important,0.0
SPATA20,cnv_del,0.0
SPATA20,cnv_amp,0.0
RIMKLA,mut_important,0.0
RIMKLA,cnv_del,0.0
RIMKLA,cnv_amp,0.0
FTO,mut_important,0.0
FTO,cnv_del,0.0
FTO,cnv_amp,0.0
ZNF711,mut_important,0.0
ZNF711,cnv_del,0.0
ZNF711,cnv_amp,0.0
TBC1D19,mut_important,0.0
TBC1D19,cnv_del,0.0
TBC1D19,cnv_amp,0.0
TAF2,mut_important,0.016576013
TAF2,cnv_del,0.06518214
TAF2,cnv_amp,0.3667286
ZNF440,mut_important,0.0
ZNF440,cnv_del,0.0
ZNF440,cnv_amp,0.0
CEACAM18,mut_important,0.0
CEACAM18,cnv_del,0.0
CEACAM18,cnv_amp,0.0
ING4,mut_important,8.861187e-07
ING4,cnv_del,0.0
ING4,cnv_amp,0.0
OSR2,mut_important,0.0
OSR2,cnv_del,0.0
OSR2,cnv_amp,0.0
