,,decision_tree_fold_0,decision_tree_fold_1,decision_tree_fold_2,decision_tree_fold_3,decision_tree_fold_4
FICD,cnv_del,0.0,0.0,0.0,0.0,0.0
FICD,cnv_amp,0.0,0.0,0.0,0.0,0.0
HTN3,mut_important,0.0,0.0,0.0,0.0,0.0
HTN3,cnv_del,0.0,0.0,0.0,0.0,0.0
HTN3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ACCS,mut_important,0.0,0.0,0.0,0.0,0.0
ACCS,cnv_del,0.0,0.0,0.0,0.0,0.0
ACCS,cnv_amp,0.0,0.0,0.0,0.0,0.0
GBP1,mut_important,0.0,0.0,0.0,0.0,0.0
GBP1,cnv_del,0.0,0.0,0.0,0.0,0.0
GBP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
LHFPL2,mut_important,0.0,0.0,0.0,0.0,0.0
LHFPL2,cnv_del,0.0,0.0,0.0,0.0,0.0
LHFPL2,cnv_amp,0.0,0.0,0.0,0.0,0.0
GRID2,mut_important,0.0,0.0,0.0,0.0,0.0
GRID2,cnv_del,0.0,0.0,0.0,0.0,0.0
GRID2,cnv_amp,0.0,0.0,0.0,0.0,0.0
PXMP2,mut_important,0.0,0.0,0.0,0.0,0.0
PXMP2,cnv_del,0.0,0.0,0.0,0.0,0.0
PXMP2,cnv_amp,0.0,0.0,0.0,0.0,0.0
SAMD12,mut_important,0.0,0.0,0.0,0.0,0.0
SAMD12,cnv_del,0.0,0.0,0.0,0.0,0.0
SAMD12,cnv_amp,0.0,0.0,0.0,0.0,0.0
C1GALT1,mut_important,0.0,0.0,0.0,0.0,0.0
C1GALT1,cnv_del,0.0,0.0,0.0,0.0,0.0
C1GALT1,cnv_amp,0.0,0.0,0.0,0.0,0.0
SLC2A8,mut_important,0.0,0.0,0.0,0.0,0.0
SLC2A8,cnv_del,0.0,0.0,0.0,0.0,0.0
SLC2A8,cnv_amp,0.0,0.0,0.0,0.0,0.0
TECPR1,mut_important,0.0,0.0,0.0,0.0,0.0
TECPR1,cnv_del,0.0,0.0,0.0,0.0,0.0
TECPR1,cnv_amp,0.0,0.0,0.0,0.0,0.0
GTF2E1,mut_important,0.0,0.0,0.0,0.0,0.0
GTF2E1,cnv_del,0.0,0.0,0.0,0.0,0.0
GTF2E1,cnv_amp,0.0,0.0,0.0,0.0,0.0
CCDC83,mut_important,0.0,0.0,0.0,0.0,0.0
CCDC83,cnv_del,0.0,0.0,0.0,0.0,0.0
